sample_id,split_partition,class_label,target_binary,target_multiclass,mean_hue,std_saturation,exg_index,exr_index,rg_ratio,indice_clorose_necrose,hue_dispersion,glcm_contrast,glcm_homogeneity,glcm_dissimilarity,glcm_energy,indice_rugosidade_pustula,laplacian_var,size_kb,total_pixels,resolution_mp,aspect_ratio,dataset_source_mendeley_data,dataset_source_roboflow_sugarcane,extension_.jpeg,extension_.jpg,size_kb_bin_0,size_kb_bin_1,size_kb_bin_2,size_kb_bin_3,laplacian_var_bin_0,laplacian_var_bin_1,laplacian_var_bin_2,laplacian_var_bin_3,resolution_bin_0,resolution_bin_1,resolution_bin_2,aspect_ratio_bin_0,aspect_ratio_bin_1,aspect_ratio_bin_2
7064f596-14b4-45fc-875c-f2b0fdeceb9d,test,HEALTHY,0,1,1.554875562111651,-1.7119175525716566,2.1636723500352852,-1.1355608295018647,-1.78139499572807,0.06553869632232026,-0.7234646587122165,-1.5806131112085697,1.433097360298424,-1.5159225133601877,1.433097360298424,-1.0487756053193042,-0.8154304483919541,-0.3247428891670278,-0.3239318308665653,-0.32392974157784066,-0.23726549397006716,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4623a0fc-bec7-4ad8-a5c2-88eea86f8a0e,test,HEALTHY,0,1,1.3811428775381975,-0.9275371034643068,2.013609870428043,-1.4716679718148191,-1.8931429426885935,-1.1275161714005444,0.3974704350343311,-1.663627601958419,1.8069130931903825,-1.7076389536340602,1.8069130931903825,-1.0834981154713446,0.009917152117799241,-0.3213605665737361,-0.3239318308665653,-0.32392974157784066,-0.23726549397006716,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
34c5670d-c4fd-4996-bf78-83764aa6e4e3,test,HEALTHY,0,1,1.5965275621986614,-1.2298181065787992,1.7939871789195272,-1.635375329924146,-1.870546850472311,-0.8162272771156799,0.08022348876696374,-1.7061991356762902,1.4210941028202413,-1.5625337398662933,1.4210941028202413,-1.0664834465987156,-0.9956010874363154,-0.3188946833423138,-0.3239318308665653,-0.32392974157784066,-0.23726549397006716,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
25032583-78af-426d-a4a4-5a49294a848b,test,HEALTHY,0,1,1.8365746153316984,-1.288724148211367,1.5180910575582958,-1.7099853205668925,-1.7678373403983008,-0.6086666016814039,0.14504711181519692,-1.5124986572599757,1.5497004329436217,-1.5418773773516938,1.5497004329436217,-1.047202644555764,0.06842916029619311,-0.31921118559615536,-0.3239318308665653,-0.32392974157784066,-0.23726549397006716,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
a252dc67-f042-4296-9d1a-0ea5d7c25224,test,HEALTHY,0,1,1.3548363511674535,-1.363131779747242,0.8529703797157805,-1.8084994829689651,-1.4740881415866296,-0.09157605297818885,-0.29089392394100755,-1.2772909334687366,1.355933562224396,-1.3639613178921766,1.355933562224396,-0.9921377249803278,0.042745671557821975,-0.3239587194037786,-0.3239318308665653,-0.32392974157784066,-0.23726549397006716,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
756372db-9406-40c1-b8ad-e404ebe7ecab,test,HEALTHY,0,1,1.3548363511674535,-0.6144049874174988,1.3508339188293905,-1.6266829038298456,-1.6326716251409017,-1.0875721035379289,0.8559053355229292,-0.9675830256712228,1.8866490178668782,-1.5454064050330925,1.8866490178668782,-1.0025998422234712,-0.6775506667438578,-0.32196050368176404,-0.3239318308665653,-0.32392974157784066,-0.23726549397006716,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
250b11cf-2a15-420e-8ef6-84e443f2d950,test,HEALTHY,0,1,1.8519200890479657,-1.0841031614877106,1.4500939964862645,-1.8353011300930586,-1.8031694118637598,-0.8822246480942134,0.5072168256390537,-1.4294841665101266,1.0498504965307502,-1.2783077623965196,1.0498504965307502,-0.990686662267712,-0.03488412147093783,-0.3202976858705368,-0.3239318308665653,-0.32392974157784066,-0.23726549397006716,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ae1c60bd-40f4-42cb-8e85-793e0f12342a,test,HEALTHY,0,1,1.6294107201620915,-1.023646960864812,1.416486253657559,-1.544829224775182,-1.620757321972317,-0.723066566634982,0.44014847922485983,-1.353919694160905,1.6500133704398587,-1.5340435691525223,1.6500133704398587,-1.0325050762285357,-0.057284758265306365,-0.32586245684106435,-0.3239318308665653,-0.32392974157784066,-0.23726549397006716,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3c19008c-d78e-44c0-951a-b93766896c42,test,HEALTHY,0,1,1.2901661405060423,-1.1430092031202783,0.8373388714233593,-1.6237854284650786,-1.3611076805052178,-0.2635788269817155,-0.0005296303394528818,-1.284740951869364,2.08556014179104,-1.7267487394756318,2.08556014179104,-1.061458050554217,-0.38885280460953847,-0.3241901912013643,-0.3239318308665653,-0.32392974157784066,-0.23726549397006716,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
c601c5c4-9d42-43f5-8233-a133f76d34a6,test,HEALTHY,0,1,1.5674807726642985,-1.1104558643233329,1.760379436090822,-1.6447921248596384,-1.8582217092634299,-0.9242969200507509,0.2525931589715098,-1.5689059394361553,1.5188349137140111,-1.5491065923854743,1.5188349137140111,-1.0530895800910884,0.22368874635371327,-0.32362332149299133,-0.3239318308665653,-0.32392974157784066,-0.23726549397006716,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
